scraped_at_kst,rank,name,code,search_ratio,price,change,change_pct,volume,open,high,low,per,roe
2026-04-24T00:38:03+09:00,1,삼성전자,005930,11.04%,"224,500","상승 7,000",+3.22%,"33,874,721","223,000","229,500","216,000",34.20,10.85
2026-04-24T00:38:03+09:00,2,SK하이닉스,000660,6.67%,"1,225,000","상승 2,000",+0.16%,"5,314,982","1,220,000","1,267,000","1,183,000",20.78,44.15
2026-04-24T00:38:03+09:00,3,두산에너빌리티,034020,3.65%,"122,600","상승 6,700",+5.78%,"8,119,024","119,600","123,900","118,100",928.79,1.11
2026-04-24T00:38:03+09:00,4,삼천당제약,000250,3.24%,"380,000","하락 23,000",-5.71%,"475,528","387,500","396,500","368,500","1,696.43",1.94
2026-04-24T00:38:03+09:00,5,삼성중공업,010140,3.04%,"34,000","상승 2,200",+6.92%,"24,473,941","32,700","35,350","31,800",54.84,13.74
2026-04-24T00:38:03+09:00,6,현대차,005380,3.02%,"532,000","하락 9,000",-1.66%,"1,089,561","547,000","551,000","525,000",15.06,8.41
2026-04-24T00:38:03+09:00,7,삼성SDI,006400,2.87%,"630,000","하락 29,000",-4.40%,"1,204,489","657,000","669,000","613,000",-75.68,-3.15
2026-04-24T00:38:03+09:00,8,대우건설,047040,2.59%,"33,250",상승 700,+2.15%,"38,328,083","34,250","36,200","32,250",-15.15,-23.89
2026-04-24T00:38:03+09:00,9,삼성전기,009150,1.96%,"774,000","하락 38,000",-4.68%,"1,114,182","796,000","796,000","753,000",85.06,7.70
2026-04-24T00:38:03+09:00,10,LS ELECTRIC,010120,1.86%,"217,000","상승 22,800",+11.74%,"3,163,517","211,500","231,500","203,000",113.55,14.67
2026-04-24T00:38:03+09:00,11,NAVER,035420,1.66%,"217,500","상승 3,500",+1.64%,"800,536","220,500","221,000","213,000",17.57,7.37
2026-04-24T00:38:03+09:00,12,에코프로,086520,1.55%,"157,200","하락 7,100",-4.32%,"1,550,258","164,400","165,100","154,200",-142.52,-8.39
